2	200	10.75652
2	220	9.77865454545454
2	240	8.96376666666667
2	260	8.27424615384615
2	280	7.68322857142857
2	300	7.17101333333333

3	200	8.35885333333333
3	220	7.59895757575758
3	240	6.96571111111111
3	260	6.42988717948718
3	280	5.97060952380952
3	300	5.57256888888889

4	200	7.16002
4	220	6.50910909090909
4	240	5.96668333333333
4	260	5.50770769230769
4	280	5.1143
4	300	4.77334666666667

5	200	6.44072
5	220	5.8552
5	240	5.36726666666667
5	260	4.9544
5	280	4.60051428571429
5	300	4.29381333333333

6	200	5.96118666666667
6	220	5.41926060606061
6	240	4.96765555555556
6	260	4.5855282051282
6	280	4.25799047619048
6	300	3.97412444444444

7	200	5.61866285714286
7	220	5.10787532467532
7	240	4.68221904761905
7	260	4.32204835164835
7	280	4.08782469172932
7	300	3.9181332631579


