260  1119132  31.53400
280  838584  30.29600
300  782804  29.77400
320  779476  29.31000
340  914668  30.97400
360  1049108  32.40200
380  742112  28.85200
400  872224  30.52600
420  901700  30.81000
440  828356  30.20800
460  751812  29.24400
480  855020  30.54400
500  564808  27.15600
520  787172  29.58600
540  793652  29.50200
560  565756  27.02800
580  699748  28.51200
600  742136  28.84400
620  741752  28.92800
660  606200  27.50800
680  659132  28.08800
700  694496  28.57600
720  709736  28.50200
740  628168  27.86800
760  447304  25.84800
780  557024  27.02400
800  597272  27.57400
820  630608  27.94000
840  663512  28.10000
860  687776  28.42200
880  679536  28.49800
900  446576  25.79600
920  435088  25.65800
940  486800  26.15600
960  519800  26.53600
1000  586700  27.68400
1020  618620  27.79600
1040  647120  27.94000
1060  672200  28.25200
1080  696092  28.48000
1100  704028  28.62000
