#20  6723632 4.67
#40  3834016 2.67
#60  2660876 1.85
80  2064540 1.44
100 1715188 1.19
120 1473956 1.02
140 1317380 0.92
160 1216196 0.85
180 1092200 0.76
200 1271400 0.88
220 1325140 0.92
240 1014332 0.71
260 1119132 0.78
280 838584  0.58
300 782804  0.54
320 779476  0.54
340 914668  0.64
360 1049108 0.73
380 742112  0.51
400 872224  0.61
420 901700  0.63
440 828356  0.58
460 751812  0.52
480 855020  0.59
500 564808  0.39
520 787172  0.55
540 793652  0.55
560 565756  0.39
580 699748  0.49
600 742136  0.52
620 741752  0.52
640 535040  0.37
660 606200  0.42
680 659132  0.46
700 694496  0.48
720 709736  0.49
740 628168  0.44
760 447304  0.31
780 557024  0.39
800 597272  0.42
820 630608  0.44
840 663512  0.46
860 687776  0.48
880 679536  0.47
900 446576  0.31
920 435088  0.3
940 486800  0.34
960 519800  0.36
980 553340  0.38
1000  586700  0.41
1020  618620  0.43
1040  647120  0.45
1060  672200  0.47
1080  696092  0.48
1100  703668  0.49
