#20  6723632  21.17200
#40  3834016  28.96400
#60  2660876  21.26600
#80  2064540  15.87400
#100  1715188  15.19600
#120  1473956  22.95000
#140  1317380  35.58000
#160  1216196  32.86600
#180  1092200  34.04400
#200  1271400  26.80200
#220  1325140  24.54000
#240  1014332  29.96200
260  1119132  33.52000
280  838584  31.83600
300  782804  31.40200
320  779476  31.26800
340  914668  33.16600
360  1049108  34.13600
380  742112  30.70400
400  872224  32.25400
420  901700  32.67000
440  828356  32.35800
460  751812  30.86200
480  855020  32.19600
500  564808  28.82200
520  787172  31.41400
540  793652  31.52800
560  565756  29.09800
580  699748  30.38000
600  742136  30.64800
620  741752  30.77600
640  535040  28.94400
660  606200  29.25200
680  659132  30.17000
720  709736  30.82400
740  628168  29.85800
760  447304  27.63600
780  557024  28.83200
800  597272  29.33600
820  630608  29.73200
840  663512  30.29400
860  687776  30.44000
880  679536  30.10200
900  446576  27.64600
920  435088  27.68000
940  486800  28.19400
960  519800  28.32800
980  553340  28.63000
1000  586700  29.21800
1020  618620  29.48000
1040  647120  29.99400
1060  672200  30.39800
1080  696092  30.54200
1100  704028  30.52400
