20 501564 0.34865 7.740000
40 350852 0.24388 10.190000
60 283222 0.19687 13.600000
80 246730 0.17151 15.430000
100 224866 0.15631 17.490000
120 210142 0.14607 22.920000
140 192490 0.13380 23.940001
160 187662 0.13045 25.790001
180 181000 0.12582 29.040001
200 214000 0.14876 29.520000
220 221330 0.15385 29.910000
240 196394 0.13652 31.250000
260 218574 0.15194 32.040001
280 174088 0.12101 33.020000
300 166078 0.11544 34.380001
320 174582 0.12136 35.580002
340 226406 0.15738 38.759998
360 235726 0.16386 41.160000
380 183424 0.12750 39.869999
400 245468 0.17063 41.119999
420 210650 0.14643 42.750000
440 258142 0.17944 41.110001
460 196694 0.13673 43.680000
480 264610 0.18394 42.529999
500 159256 0.11070 43.459999
520 223214 0.15516 44.450001
540 280694 0.19512 44.090000
560 182202 0.12665 47.799999
580 206306 0.14341 47.660000
600 260152 0.18084 48.639999
620 309204 0.21493 50.599998
640 190620 0.13250 49.709999
660 197180 0.13706 49.419998
680 242394 0.16849 48.939999
700 290372 0.20184 50.720001
720 335872 0.23347 48.540001
740 301836 0.20981 49.470001
760 166328 0.11562 50.880001
780 210428 0.14627 54.529999
800 252104 0.17524 53.560001
820 293396 0.20395 52.150002
840 334664 0.23263 54.880001
860 375452 0.26098 54.939999
880 382852 0.26613 53.939999
900 201232 0.13988 54.259998
920 180836 0.12570 54.490002
940 213100 0.14813 55.549999
960 247800 0.17225 55.820000
980 282530 0.19639 55.130001
1000 317250 0.22053 55.480000
1020 351890 0.24461 54.400002
1040 386340 0.26855 57.240002
1060 420600 0.29237 56.910000
1080 452754 0.31472 57.349998
1100 465246 0.32340 58.400002
