#20  6723632  24.04200
#40  3834016  34.20800
#60  2660876  24.38400
#80  2064540  17.65800
#100  1715188  16.82200
#120  1473956  26.32200
#160  1216196  40.04800
#180  1092200  41.01800
#200  1271400  31.27800
#220  1325140  28.86600
#240  1014332  35.72200
260  1119132  40.31800
280  838584  38.64000
300  782804  37.69000
320  779476  37.71200
340  914668  39.74200
360  1049108  41.67800
380  742112  37.10400
420  901700  39.41600
440  828356  38.51800
460  751812  37.29600
480  855020  39.22800
500  564808  34.76000
520  787172  37.84600
540  793652  38.08600
560  565756  34.76000
580  699748  36.46400
600  742136  37.25800
620  741752  37.26600
640  535040  34.21200
660  606200  35.33800
680  659132  36.09200
700  694496  36.58200
720  709736  36.78000
740  628168  35.66200
760  447304  33.03000
780  557024  34.81200
800  597272  35.05800
820  630608  35.56400
840  663512  36.17600
860  687776  36.46400
880  679536  36.46800
900  446576  33.15000
920  435088  32.88000
940  486800  33.63800
960  519800  34.17200
980  553340  34.43400
1000  586700  35.07200
1020  618620  35.65600
1040  647120  35.83800
1060  672200  36.23800
1080  696092  36.72000
1100  704028  36.49600
