20 6723632 4.67373 8.020000
40 3834016 2.66510 10.280000
60 2660876 1.84963 13.620000
80 2064540 1.43510 15.600000
100 1715188 1.19226 17.780001
120 1473956 1.02458 23.190001
140 1317380 0.91574 24.320000
160 1216196 0.84540 26.010000
180 1092200 0.75921 29.620001
200 1271400 0.88378 30.420000
220 1325140 0.92113 30.650000
240 1014332 0.70508 31.389999
260 1119132 0.77793 31.760000
280 838584 0.58292 33.250000
300 782804 0.54414 34.130001
320 779476 0.54183 34.919998
340 914668 0.63580 39.360001
360 1049108 0.72926 44.099998
380 742112 0.51586 44.790001
400 872224 0.60630 63.180000
420 901700 0.62679 54.540001
440 828356 0.57581 54.450001
460 751812 0.52260 58.040001
480 855020 0.59434 55.439999
500 564808 0.39261 58.830002
520 787172 0.54718 60.570000
540 793652 0.55168 51.099998
560 565756 0.39327 54.099998
580 699748 0.48641 64.779999
600 742136 0.51587 64.139999
620 741752 0.51561 56.240002
640 535040 0.37192 59.570000
660 606200 0.42138 59.680000
680 659132 0.45818 72.360001
700 694496 0.48276 72.370003
720 709736 0.49335 72.290001
740 628168 0.43665 64.320000
760 447304 0.31093 60.139999
780 557024 0.38720 74.809998
800 597272 0.41518 72.839996
820 630608 0.43835 71.470001
840 663512 0.46122 73.279999
860 687776 0.47809 74.349998
880 679536 0.47236 76.389999
900 446576 0.31042 62.419998
920 435088 0.30244 75.370003
940 486800 0.33838 79.169998
960 519800 0.36132 80.070000
980 553340 0.38464 72.010002
1000 586700 0.40783 83.580002
1020 618620 0.43002 83.400002
1040 647120 0.44983 84.559998
1060 672200 0.46726 87.129997
1080 696092 0.48387 84.349998
1100 704028 0.48938 96.290001
