20 135560 0.09423 7.620000
40 145960 0.10146 9.970000
60 143360 0.09965 13.290000
80 139800 0.09718 15.290000
100 137200 0.09537 17.410000
120 135800 0.09440 22.660000
140 126320 0.08781 24.350000
160 127160 0.08839 25.709999
180 127400 0.08856 29.580000
200 151800 0.10552 29.480000
220 156400 0.10872 29.969999
240 148280 0.10307 30.930000
260 165600 0.11511 31.049999
280 135000 0.09384 32.410000
300 129800 0.09023 33.099998
320 139000 0.09662 33.639999
340 185920 0.12924 37.200001
360 187880 0.13060 39.980000
380 150560 0.10466 39.430000
400 208600 0.14500 41.480000
420 170000 0.11817 41.419998
440 224600 0.15612 40.439999
460 164040 0.11403 41.369999
480 229880 0.15979 41.009998
500 135400 0.09412 40.830002
520 190040 0.13210 42.320000
540 250520 0.17414 42.259998
560 159640 0.11097 44.290001
580 177280 0.12323 47.110001
600 231800 0.16113 48.529999
620 283760 0.19725 48.549999
640 170360 0.11842 48.209999
660 173120 0.12034 47.880001
680 217880 0.15145 47.520000
700 266600 0.18532 48.919998
720 313880 0.21818 47.070000
740 282640 0.19647 49.730000
760 149800 0.10413 49.529999
780 190040 0.13210 53.070000
800 231800 0.16113 55.220001
820 273560 0.19016 53.599998
840 315320 0.21919 53.290001
860 357080 0.24821 55.849998
880 365400 0.25400 56.799999
900 186800 0.12985 56.270000
920 165880 0.11531 57.869999
940 197000 0.13694 58.939999
960 231800 0.16113 58.830002
980 266600 0.18532 59.320000
1000 301400 0.20951 60.980000
1020 336200 0.23370 57.820000
1040 371000 0.25789 56.139999
1060 405800 0.28208 63.000000
1080 438440 0.30477 58.889999
1100 451200 0.31364 68.790001
