#20  6723632  33.15200
#40  3834016  47.68600
#60  2660876  33.59400
#80  2064540  24.01400
#100  1715188  22.84200
#120  1473956  36.60200
#140  1317380  60.45400
#160  1216196  55.96600
#180  1092200  57.30000
#200  1271400  43.63400
#220  1325140  39.84800
#240  1014332  49.98600
260  1119132  56.52200
280  838584  53.67200
300  782804  52.88800
320  779476  52.77400
340  914668  55.54800
360  1049108  58.23600
380  742112  52.23200
400  872224  54.65600
420  901700  55.42400
440  828356  53.82200
460  751812  52.40200
480  855020  54.30400
500  564808  48.73800
520  787172  53.11200
540  793652  52.97600
560  565756  48.50400
580  699748  51.15200
600  742136  52.10400
620  741752  52.31000
640  535040  48.17200
660  606200  49.53600
680  659132  50.65600
700  694496  51.06000
720  709736  51.61400
740  628168  49.98800
760  447304  46.26000
780  557024  48.56600
800  597272  49.38000
820  630608  50.04200
840  663512  50.56200
860  687776  50.98400
880  679536  50.78200
900  446576  46.17600
920  435088  45.90400
940  486800  46.96800
960  519800  47.62800
980  553340  48.47400
1000  586700  48.99800
1020  618620  49.63200
1040  647120  50.20000
1060  672200  50.67000
1080  696092  51.08800
1100  704028  51.33000
