#20  141.9764  170.37168 121.6940571429  106.4823
#40  93.8161333333 112.57936 80.4138285714 70.3621
#60  74.2638 89.11656  63.6546857143 55.69785
#80  64.3248666667 77.18984  55.1356 48.24365
#100 58.5023333333 70.2028 50.1448571429 43.87675
#120 54.4818 65.37816  46.6986857143 40.86135
#140 51.8722 62.24664  44.4618857143 38.90415
#160 50.1858 60.22296  43.0164 37.63935
#180 48.1192 57.74304  41.2450285714 36.0894
#200 51.1058666667 61.32704  43.8050285714 38.3294
#220 52.0015333333 62.40184  44.5727428571 39.00115
#240 46.8214 56.18568  40.1326285714 35.11605
260 48.5680666667 58.28168  41.6297714286 36.42605
280 43.8922666667 52.67072  37.6219428571 32.9192
300 42.9626 51.55512  36.8250857143 32.22195
320 42.9071333333 51.48856  36.7775428571 32.18035
340 45.1603333333 54.1924 38.7088571429 33.87025
360 47.401  56.8812 40.6294285714 35.55075
380 42.2844 50.74128  36.2437714286 31.7133
400 44.4529333333 53.34352  38.1025142857 33.3397
420 44.9442 53.93304  38.5236 33.70815
440 43.7218 52.46616  37.4758285714 32.79135
460 42.4460666667 50.93528  36.3823428571 31.83455
480 44.1662 52.99944  37.8567428571 33.12465
500 39.3293333333 47.1952 33.7108571429 29.497
520 43.0354 51.64248  36.8874857143 32.27655
540 43.1434 51.77208  36.9800571429 32.35755
560 39.3451333333 47.21416  33.7244 29.50885
580 41.5783333333 49.894  35.6385714286 31.18375
600 42.2848 50.74176  36.2441142857 31.7136
620 42.2784 50.73408  36.2386285714 31.7088
640 38.8332 46.59984  33.2856 29.1249
660 40.0192 48.02304  34.3021714286 30.0144
680 40.9014 49.08168  35.0583428571 30.67605
700 41.4908 49.78896  35.5635428571 31.1181
720 41.7448 50.09376  35.7812571429 31.3086
740 40.3853333333 48.4624 34.616  30.289
760 37.3709333333 44.84512  32.0322285714 28.0282
780 39.1996 47.03952  33.5996571429 29.3997
800 39.8704 47.84448  34.1746285714 29.9028
820 40.426  48.5112 34.6508571429 30.3195
840 40.9744 49.16928  35.1209142857 30.7308
860 41.3788 49.65456  35.4675428571 31.0341
880 41.2414666667 49.48976  35.3498285714 30.9311
900 37.3588 44.83056  32.0218285714 28.0191
920 37.1673333333 44.6008 31.8577142857 27.8755
940 38.0292 45.63504  32.5964571429 28.5219
960 38.5792 46.29504  33.0678857143 28.9344
980 39.1382 46.96584  33.5470285714 29.35365
1000  39.6942 47.63304  34.0236 29.77065
1020  40.2262 48.27144  34.4796 30.16965
1040  40.7012 48.84144  34.8867428571 30.5259
1060  41.1192 49.34304  35.2450285714 30.8394
1080  41.5174 49.82088  35.5863428571 31.13805
1100  41.6436666667 49.9724 35.6945714286 31.23275

